Text,Prediction
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,Spam
Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,Not Spam 
Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate,Not Spam 
I'm in office now da:)where are you?,Not Spam 
Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,Not Spam 
Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.,Not Spam 
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,Spam
K..then come wenever u lik to come and also tel vikky to come by getting free time..:-),Not Spam 
Pls call me da. What happen.,Not Spam 
"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",Not Spam 
No problem with the renewal. I.ll do it right away but i dont know his details.,Not Spam 
Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,Not Spam 
Haven't left yet so probably gonna be here til dinner,Not Spam 
"Like  &lt;#&gt; , same question",Not Spam 
MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,Not Spam 
"Sir, I need Velusamy sir's date of birth and company bank facilities details.",Not Spam 
K k:) sms chat with me.,Not Spam 
I will come with karnan car. Please wait till 6pm will directly goto doctor.,Not Spam 
No but the bluray player can,Not Spam 
Ok... Then r we meeting later?,Not Spam 
Lol no. I just need to cash in my nitros. Hurry come on before I crash out!,Not Spam 
Just send a text. We'll skype later.,Not Spam 
Ok leave no need to ask,Not Spam 
"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",Spam
ÌÏ still got lessons?  ÌÏ in sch?,Not Spam 
Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.,Not Spam 
Oh did you charge camera,Not Spam 
"IÛ÷ve got some salt, you can rub it in my open wounds if you like!",Not Spam 
Now i'm going for lunch.,Not Spam 
I'm in school now n i'll be in da lab doing some stuff give me a call when Ì_ r done.,Not Spam 
Oh k. . I will come tomorrow,Not Spam 
"Aight, text me tonight and we'll see what's up",Not Spam 
U 2.,Not Spam 
Water logging in desert. Geoenvironmental implications.,Not Spam 
Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,Not Spam 
Company is very good.environment is terrific and food is really nice:),Not Spam 
"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u ",Not Spam 
SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,Spam
"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",Not Spam 
"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",Not Spam 
K sure am in my relatives home. Sms me de. Pls:-),Not Spam 
I sent them. Do you like?,Not Spam 
"Fuuuuck I need to stop sleepin, sup",Not Spam 
I'm in town now so i'll jus take mrt down later.,Not Spam 
I just cooked a rather nice salmon a la you,Not Spam 
I uploaded mine to Facebook,Not Spam 
WHAT TIME U WRKIN?,Not Spam 
Okie,Not Spam 
ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,Spam
Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,Spam
"Sorry, I'll call later",Not Spam 
Oh oh... Den muz change plan liao... Go back have to yan jiu again...,Not Spam 
"It's wylie, you in tampa or sarasota?",Not Spam 
Ok... Take ur time n enjoy ur dinner...,Not Spam 
Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,Not Spam 
"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",Spam
I like cheap! But iÛ÷m happy to splash out on the wine if it makes you feel better..,Not Spam 
She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,Not Spam 
Ugh my leg hurts. Musta overdid it on mon.,Not Spam 
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,Spam
"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",Spam
WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,Not Spam 
Me fine..absolutly fine,Not Spam 
How come she can get it? Should b quite diff to guess rite...,Not Spam 
Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,Spam
I will reach ur home in  &lt;#&gt;  minutes,Not Spam 
"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",Not Spam 
Hi.what you think about match?,Not Spam 
"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",Not Spam 
Dai i downloaded but there is only exe file which i can only run that exe after installing.,Not Spam 
It is only yesterday true true.,Not Spam 
K.k.how is your business now?,Not Spam 
3 pa but not selected.,Not Spam 
Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,Spam
I keep ten rs in my shelf:) buy two egg.,Not Spam 
I am late. I will be there at,Not Spam 
Well thats nice. Too bad i cant eat it,Not Spam 
I accidentally brought em home in the box,Not Spam 
Pls she needs to dat slowly or she will vomit more.,Not Spam 
I have to take exam with in march 3,Not Spam 
"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",Not Spam 
5 nights...We nt staying at port step liao...Too ex,Not Spam 
If I die I want u to have all my stuffs.,Not Spam 
"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\""""",Not Spam 
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Not Spam 
Prabha..i'm soryda..realy..frm heart i'm sory,Not Spam 
I re-met alex nichols from middle school and it turns out he's dealing!,Not Spam 
PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,Spam
It means u could not keep ur words.,Not Spam 
"Nope, I'm still in the market",Not Spam 
I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,Not Spam 
YOU ARE CHOSEN TO RECEIVE A å£350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,Spam
Hey what how about your project. Started aha da.,Not Spam 
Ok cool. See ya then.,Not Spam 
Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,Not Spam 
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,Not Spam 
Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch ,Spam
Yeah I can still give you a ride,Not Spam 
"Jay wants to work out first, how's 4 sound?",Not Spam 
"Gud gud..k, chikku tke care.. sleep well gud nyt",Not Spam 
Its a part of checking IQ,Not Spam 
Hmm thinking lor...,Not Spam 
Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,Not Spam 
thanks for the temales it was wonderful. Thank. Have a great week.,Not Spam 
Thank you princess! I want to see your nice juicy booty...,Not Spam 
Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,Not Spam 
Gud ni8 dear..slp well..take care..swt dreams..Muah..,Not Spam 
U come n search tat vid..not finishd..,Not Spam 
"K I'm leaving soon, be there a little after 9",Not Spam 
Urgent! Please call 09061213237 from a landline. å£5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,Spam
"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",Not Spam 
You do your studies alone without anyones help. If you cant no need to study.,Not Spam 
Please tell me not all of my car keys are in your purse,Not Spam 
I didnt get anything da,Not Spam 
Ok... Sweet dreams...,Not Spam 
Well she's in for a big surprise!,Not Spam 
"As usual..iam fine, happy &amp; doing well..:)",Not Spam 
1 in cbe. 2 in chennai.,Not Spam 
Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,Not Spam 
If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,Not Spam 
I absolutely LOVE South Park! I only recently started watching the office.,Not Spam 
Did you see that film:),Not Spam 
Pls speak with me. I wont ask anything other then you friendship.,Not Spam 
"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person",Not Spam 
Gud ni8.swt drms.take care,Not Spam 
HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,Not Spam 
Anything lar then Ì_ not going home 4 dinner?,Not Spam 
\ER,Not Spam 
"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",Spam
Did u fix the teeth?if not do it asap.ok take care.,Not Spam 
So u wan 2 come for our dinner tonight a not?,Not Spam 
"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",Not Spam 
Its too late:)but its k.wish you the same.,Not Spam 
"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",Not Spam 
Oh yeah clearly it's my fault,Not Spam 
Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,Not Spam 
"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",Not Spam 
URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,Spam
"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",Not Spam 
"Vikky, come around  &lt;TIME&gt; ..",Not Spam 
"And how you will do that, princess? :)",Not Spam 
I have gone into get info bt dont know what to do,Not Spam 
"Yeah, probably here for a while",Not Spam 
Sent me ur email id soon,Not Spam 
"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",Spam
I'm still pretty weak today .. Bad day ?,Not Spam 
Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,Not Spam 
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),Not Spam 
Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,Not Spam 
Dear where you. Call me,Not Spam 
Xy trying smth now. U eat already? We havent...,Not Spam 
Urgent! Please call 09061213237 from landline. å£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,Spam
I donno its in your genes or something,Not Spam 
XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,Spam
Alex says he's not ok with you not being ok with it,Not Spam 
Are u coming to the funeral home,Not Spam 
My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,Not Spam 
I.ll hand her my phone to chat wit u,Not Spam 
Well good morning mr . Hows london treatin' ya treacle?,Not Spam 
I can't make it tonight,Not Spam 
At WHAT TIME should i come tomorrow,Not Spam 
About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,Not Spam 
"I can. But it will tell quite long, cos i haven't finish my film yet...",Not Spam 
Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,Not Spam 
"\Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?\""""",Not Spam 
Ill be at yours in about 3 mins but look out for me,Not Spam 
What you did in  leave.,Not Spam 
I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,Not Spam 
"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",Not Spam 
"yeah, that's what I was thinking",Not Spam 
K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,Not Spam 
Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,Not Spam 
My sister going to earn more than me da.,Not Spam 
Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX å£1.50,Spam
Hahaha..use your brain dear,Not Spam 
Jus finish watching tv... U?,Not Spam 
"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else",Not Spam 
"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",Not Spam 
Kothi print out marandratha.,Not Spam 
But we havent got da topic yet rite?,Not Spam 
Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,Not Spam 
"Thanks, I'll keep that in mind",Not Spam 
Aah bless! How's your arm?,Not Spam 
"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",Not Spam 
"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",Not Spam 
What makes you most happy?,Not Spam 
Wishing you a wonderful week.,Not Spam 
Sweet heart how are you?,Not Spam 
"Sir, waiting for your letter.",Not Spam 
Dude im no longer a pisces. Im an aquarius now.,Not Spam 
X course it 2yrs. Just so her messages on messenger lik you r sending me,Not Spam 
I think steyn surely get one wicket:),Not Spam 
"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",Not Spam 
"Garbage bags, eggs, jam, bread, hannaford wheat chex",Not Spam 
No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.,Not Spam 
Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.,Not Spam 
My birthday is on feb  &lt;#&gt;  da. .,Not Spam 
